curdeep:328    curtime: 53.2263999999941ms          pathtime: 45.31023333333337ms
curdeep:329    curtime: 46.44816666665671ms          pathtime: 46.28789999999867ms
curdeep:330    curtime: 42.125033333331885ms          pathtime: 45.89666666666593ms
curdeep:331    curtime: 42.822499999995976ms          pathtime: 45.94146666666651ms
curdeep:334    curtime: 43.41190000000097ms          pathtime: 46.78093333333209ms
curdeep:336    curtime: 44.13763333333615ms          pathtime: 46.25756666666613ms
curdeep:338    curtime: 48.49113333333056ms          pathtime: 46.6843666666667ms
curdeep:339    curtime: 46.19670000000345ms          pathtime: 46.347133333334035ms
curdeep:340    curtime: 50.69240000001022ms          pathtime: 46.67363333333393ms
curdeep:342    curtime: 45.645300000008625ms          pathtime: 46.68283333333344ms
curdeep:343    curtime: 48.8318333333306ms          pathtime: 46.980833333333294ms
curdeep:345    curtime: 51.21876666667049ms          pathtime: 46.24856666666801ms
curdeep:346    curtime: 48.1283666666665ms          pathtime: 46.982666666665786ms
curdeep:347    curtime: 51.493200000004435ms          pathtime: 47.00403333333346ms
curdeep:349    curtime: 48.69966666666793ms          pathtime: 47.32450000000009ms
curdeep:350    curtime: 48.918833333330745ms          pathtime: 47.23030000000108ms
curdeep:353    curtime: 45.256033333347055ms          pathtime: 47.40606666666736ms
curdeep:355    curtime: 50.55660000001202ms          pathtime: 47.27653333333327ms
curdeep:356    curtime: 46.881399999999ms          pathtime: 47.38989999999982ms
curdeep:358    curtime: 48.732200000010074ms          pathtime: 47.78706666666608ms
curdeep:359    curtime: 50.324633333336045ms          pathtime: 47.639766666666596ms
curdeep:360    curtime: 48.76750000000053ms          pathtime: 47.42010000000126ms
curdeep:362    curtime: 198.62113333333582ms          pathtime: 58.314933333333364ms
curdeep:363    curtime: 288.02806666667493ms          pathtime: 94.09716666666672ms
